Nome,Preco,Categoria,Marca,Descricao,Imagem,Estoque_minimo,Estoque_maximo,Quant_estoque,Cod_barras,Cor,Tipo_chip,Quant_chip,Mem_interna,Mem_ram,Processador,Display,SO,
Notebook Lenovo Ideapad S145,"2.398,99",Notebook,Lenovo,"O novo Ideapad S145 veio para transformar seu dia a dia! Com design mais fino e cotmpacto, tela infinita e touchpad único, ele acompanha a rotina de quem precisa ser prático, não importa onde esteja!",lenovo_ideapad.png,250,2500,1250,193386404545,Prata,-,-,HDD 1 TB / SSD -,8 GB,Intel Core i5-8265U,15.6,Windows 10,https://www.americanas.com.br/produto/134573365/notebook-lenovo-ideapad-s145-8a-intel-core-i5-8gb-1tb-hd-15-6-w10-prata?DCSext.recom=RR_category_page.rr1-CategoryTopSellers&nm_origem=rec_category_page.rr1-CategoryTopSellers&nm_ranking_rec=1&pfm_carac=os%20mais%20vendidos%20da%20categoria&pfm_index=0&pfm_page=category&pfm_pos=category_page.rr1&pfm_type=vit_recommendation&voltagem=BIVOLT
Notebook Acer A515-52G-57NL,"2.964,86",Notebook,Acer,"Os notebooks da linha Aspire 5 são convenientemente portáteis e elegantes para acompanhar suas tarefas do dia a dia. Os recursos tecnológicos de sua confiança ao seu lado sempre que precisar. Desempenho suficiente para todas as tarefas com processador Intel Core i5 de 8ª geração e placa de vídeo (GPU) NVIDIA com 2GB de memória dedicada você cria, edita, compartilha e assiste vídeos, fotos e imagens sem dificuldades.",notebook_acer.png,250,2500,1250,4710180220339,Prata,-,-,HDD 1 TB / SSD -,16 GB,Intel Core i5-8265U,15.6,Windows 10,https://www.americanas.com.br/produto/134411041/notebook-acer-a515-52g-57nl-8a-intel-core-i5-16gb-geforce-mx130-com-2gb-1tb-led-15-6-w10-prata?DCSext.recom=RR_category_page.rr3-MoversAndShakersInCategory&nm_origem=rec_category_page.rr3-MoversAndShakersInCategory&nm_ranking_rec=2&pfm_carac=os%20mais%20desejados%20da%20categoria&pfm_index=1&pfm_page=category&pfm_pos=category_page.rr3&pfm_type=vit_recommendation&voltagem=BIVOLT
Notebook Gamer Dell G5-5590-a23b,"6.809,00",Notebook,Dell,"Muita ação requer muita potência. A nova série de PCs Gaming Dell G foi projetada para atender as necessidades dos gamers mais exigentes, com gráficos poderosos, desempenho extremamente rápido e sistema térmico especial. Tudo isso para os seus jogos se tornarem mais intensos e reais. Com o novo notebook Dell G5 15 Gaming você terá uma incrível experiência em um notebook com um design impressionante e desempenho excepcional. Este notebook conta com a 9ª geração de processadores Intel® Core i7, que fornecem um desempenho poderoso, seja para você jogar todos seus games, streaming de vídeos ou trabalhar em projetos que exigem maior capacidade gráfica. Possui placa de vídeo dedicada NVIDIA® GeForce® GTX 1660Ti de 6GB, com performance 1,5x superior ao modelo anterior em jogos mais modernos e complexos. A tela Full HD 300 nits com painel IPS e antirreflexo proporciona imagens maravilhosas e detalhes surpreendentes, fornecendo visuais fantásticos para jogar seus games preferidos. Armazenamento de 1TB + 128GB SSD permite você armazenar seus conteúdos sem se preocupar com falta de espaço. SSD PCIe de dual-drive são até 4x mais rápido que o SATA convencional e você tem o benefício de maior duração de bateria, rápida resposta e performance mais silenciosa, ou seja, uma solução de armazenamento completa. Memória de 8GB para uma performance impressionante e rápida.",dell_gaming.png,250,2500,1250,7899864926877,Branco,-,-,HDD 1 TB / SSD 128 GB,8 GB,Intel Core i7-9750HQ,15.6,Windows 10,https://www.americanas.com.br/produto/107590042/notebook-gamer-dell-g5-5590-a23b-9a-geracao-intel-core-i7-8gb-1tb-128gb-ssd-placa-video-nvidia-gtx-1660ti-fhd-15-6-office-365-com-teclado-us-int-rgb?api=b2wads&chave=b2wads_5d78e1f7179c7e0f9d5efc60_72381189000625_107590042_bef1c0dc-a242-461d-97f7-ea7db5bdac3f&pos=5&sellerId=72381189000625&sellerName=Dell
